,Time,Angle,X,Y,Tilt,Temp,ISTilt,ISTiltTemp,ISTemp
0,1689352908.4058542,-180.0,0.4004316407253504,-0.012267083336281657,3.081159549396691,0.3092489547263237,0.42758537555310894,0.24517975507746492,-1.6316429050928287e-05
1,1689352909.4218302,-180.0,0.40108600417660356,-0.01128445242978968,3.081184644699584,0.30920490081345836,0.42757392496408403,0.2451800293430703,-7.50072543256566e-05
2,1689352917.5430882,-165.0,0.3894504915672567,-0.012637168222606002,3.0792920063232083,0.30935245570915665,0.4275374133553669,0.24519878225383865,-5.7077143758811464e-05
3,1689352918.5572872,-165.0,0.3896933880440277,-0.012214395260116362,3.0792767160157077,0.30924919470872836,0.4275270941119642,0.24518390334474638,-5.0770060593347604e-05
4,1689352926.6709495,-150.0,0.3306784921040465,-0.011920822921613054,3.076929893796811,0.3093038421306018,0.427500764613847,0.24519144564889453,1.8444343841868733e-05
5,1689352927.6853936,-150.0,0.3302751159649233,-0.011791896536149378,3.0769297566640086,0.3092904031159378,0.4274876341479891,0.24517996077666895,-8.570290412990289e-05
6,1689352935.8086138,-135.0,0.24025240206068096,-0.01200374579490118,3.074235577055889,0.30933325711677956,0.4275188661438026,0.24520046213067165,-6.359121128854086e-05
7,1689352936.8263235,-135.0,0.23980953167438201,-0.011932923696425254,3.0742611180403907,0.3092980139864873,0.42751598635494603,0.24519130851609183,-8.306320516264047e-05
8,1689352944.9427123,-120.0,0.13850651340296988,-0.012100072075984118,3.07142432031747,0.30930891604430144,0.4275087525996039,0.2451934340745336,-5.97857908246624e-05
9,1689352945.9611025,-120.0,0.13879932621992136,-0.012090987924921137,3.071429119965564,0.30930699618506374,0.42752061458703694,0.24518825731123192,-6.0814865738241984e-05
10,1689352954.0839152,-105.0,0.05497666059106147,-0.012739184953034055,3.0686008930428113,0.3093955839756038,0.42750134742825846,0.2451994679178521,-7.802406976982941e-05
11,1689352955.0978143,-105.0,0.0548090843061699,-0.012539916386509099,3.0686025386364437,0.3093347655776092,0.4274745036821312,0.2451924055785134,-3.668020550170089e-05
12,1689352963.217779,-90.0,0.009936145776767566,-0.013193323946552482,3.065994992676426,0.3093574267732543,0.42746737277639113,0.2452014220602905,-9.272977412895973e-05
13,1689352964.235478,-90.0,0.010186413141683361,-0.012885936842470377,3.066002603546975,0.30940926297267246,0.4274721381412847,0.24519357120733629,-6.372919973627076e-05
14,1689352972.3580375,-75.0,0.01915383565862309,-0.013761134807711843,3.0638838674621587,0.3093452905202159,0.4274686069716154,0.2452075930364117,-5.2106858289688615e-05
15,1689352973.3716152,-75.0,0.019125586301268212,-0.013179577740604347,3.0638602806200956,0.3093690144950819,0.4274705953972544,0.24520433613234774,-2.4989260415016663e-05
16,1689352981.487568,-60.0,0.08066975965412995,-0.012846926412622552,3.0622563410765906,0.30936846596387113,0.4274720695748834,0.24520574174357535,-0.00011929882132714435
17,1689352982.5016987,-60.0,0.0810574683705454,-0.012983771435427924,3.0622801679010587,0.3093505701331196,0.42747560074455276,0.24519867940423662,-4.189068411303904e-05
18,1689352990.6214745,-45.0,0.17552469069328758,-0.012536111327007247,3.061346293514715,0.3093659290070213,0.42746507580194604,0.24518825731123192,-4.209505287791318e-05
19,1689352991.638075,-45.0,0.17513249087758392,-0.012838322178974218,3.0613595268301754,0.3093607865269203,0.42745643643537634,0.245192131312908,-3.0680296693693286e-05
20,1689352999.7553482,-30.0,0.27549580661853823,-0.012518971419341243,3.0611839282763262,0.3092602338993452,0.4274788919318174,0.24519970790025683,-7.356701586205518e-05
21,1689353000.7682886,-30.0,0.27562711127711736,-0.012641418919707171,3.0611744318297394,0.30930864177869605,0.4274822174022827,0.2451833890967363,-1.0317299717775717e-05
22,1689353008.8831255,-15.0,0.35752360955934315,-0.01210332865844066,3.0617350650103514,0.3093522500099526,0.42743446090374465,0.24521143275488713,-4.6073008200487995e-05
23,1689353009.9002924,-15.0,0.3581230170399168,-0.011806876815449464,3.0617365734711814,0.3093536899043809,0.427434323770942,0.24519442828735313,-4.062200764565205e-05
24,1689353018.0273688,0.0,0.401178328836017,-0.012200751893614224,3.0630064917905253,0.3093053505914314,0.4274239359611379,0.24520210772430395,-5.056353621234343e-05
25,1689353019.0419102,0.0,0.40133058053020754,-0.011722034272502747,3.0630131427314558,0.3092431265822092,0.42740614297998847,0.24521084994047568,-0.00013503377917661256
26,1689353027.158781,15.0,0.39314018675653034,-0.011658308095800547,3.0649066724710488,0.3093538613203843,0.4274255129883689,0.24520834726682653,-7.031005382411119e-05
27,1689353028.1742582,15.0,0.3931360042060482,-0.011962472897241443,3.0649163746168395,0.3093183782076873,0.4274345637533467,0.24520930719644538,-4.3468319859130133e-05
28,1689353036.2909276,30.0,0.33193987390642277,-0.012193655971840498,3.067324940880149,0.30929307720559035,0.4274583905778147,0.24520426756594638,2.3929693188367513e-05
29,1689353037.304204,30.0,0.331849366256645,-0.012180663921829668,3.067331763237083,0.30942616459060446,0.4274596590562396,0.24521163845409116,-1.6864866318479068e-05
30,1689353045.420016,45.0,0.23860824832278618,-0.012387988244957645,3.0701053084547616,0.3093235206877883,0.4274689498036221,0.2452148267917538,-9.063948783073606e-05
31,1689353046.4341466,45.0,0.23735787142782605,-0.01284466394481064,3.070084121436745,0.30942698738742064,0.42746072183546047,0.24521057567487028,-3.9182275290588426e-05
32,1689353054.5470495,60.0,0.13716761728387106,-0.0125846858253327,3.072965555886943,0.3093723742487479,0.42747827483420525,0.24520666738999353,2.615741866268056e-05
33,1689353055.5606353,60.0,0.13757678728390804,-0.012036585857989243,3.0729882513657887,0.3093526614083607,0.42746696137798307,0.24521592385417534,-8.47083752041221e-05
34,1689353063.676095,75.0,0.05300314814429738,-0.012675527335962519,3.0757942284913042,0.3093715857351324,0.42745708781618913,0.24519775375781844,-5.395761581894476e-05
35,1689353064.6929634,75.0,0.05318546620547851,-0.012310447302676645,3.0758170953861534,0.30937672821523343,0.42746397873952446,0.24521222126850262,-0.00010472835609536762
36,1689353072.8077097,90.0,0.009548265644348753,-0.012698871890203614,3.078377433378844,0.30930415067940786,0.42747625212536555,0.24521434682694437,-9.211312465140509e-05
37,1689353073.8220444,90.0,0.009284422131966293,-0.013232780013999622,3.07836601707302,0.30934278784656677,0.42747186387567937,0.2452095128956494,2.5471751263871232e-05
38,1689353081.9327037,105.0,0.020455225956185232,-0.013092746968368374,3.080528772787501,0.30935488981640447,0.42748951972402616,0.24522689447839083,-9.906217415947241e-06
39,1689353082.9463034,105.0,0.019970324365860707,-0.013715439813874278,3.0805272300434705,0.3093010994745479,0.4275068327403662,0.2452237404239289,-0.00012786839811774876
40,1689353091.0675075,120.0,0.08173600147827326,-0.013100082848849424,3.0821553392434504,0.3092632165378038,0.42751807763018707,0.24522710017759486,-0.0001079177851074241
41,1689353092.0831442,120.0,0.08202068917666515,-0.012925015831948864,3.082153522233815,0.3093351084096159,0.4275189689934046,0.24522363757432686,-2.8384332349812918e-05
42,1689353100.201663,135.0,0.17752772097583147,-0.011909544862368825,3.0827778878844785,0.3092927000903829,0.4275046728987238,0.24521167273729183,-2.697825394509184e-05
43,1689353101.2148573,135.0,0.17839114338479098,-0.012083137847210108,3.0827501527751338,0.30943096423869876,0.4275105696092396,0.2452127697997134,5.152526859496397e-07
44,1689353109.3318374,150.0,0.2774380185030875,-0.012442493151335535,3.082893422270748,0.3094147482847802,0.4274832801815036,0.2452196950062494,-6.321348798918634e-05
45,1689353110.345571,150.0,0.2780251868810208,-0.012160198872076458,3.0829135807927437,0.30929626554325296,0.42747525791254604,0.24522339759192213,-8.906239839411178e-05
46,1689353118.4671383,165.0,0.35913385721177193,-0.012632883245689501,3.0822487266820846,0.30937991655289604,0.427497199160977,0.24522980855044807,-2.577790267347761e-05
47,1689353119.484443,165.0,0.3585034234345888,-0.012274796294731358,3.0822625770951566,0.3093954125596004,0.4274986733386059,0.2452284715056218,-0.00010178010662937393
48,1689353127.600251,180.0,0.3989702850134462,-0.0119989466207547,3.0809570042471126,0.3094143711695728,0.4274968563289703,0.24522199198069453,-6.177374801710458e-05
49,1689353128.6143696,180.0,0.39930026081992764,-0.012371293974890958,3.080962181010414,0.30932129227974453,0.42749946185222143,0.24522620881437737,-8.416065647528133e-05
